CP010812.1 666
CP013301.1 666
CP013311.1 666
CP007653.1 666
CP024867.1 666
CP013315.1 666
CP002555.1 935297
CP020408.2 666
CP016987.1 666
AE003852.1 243277
CP010811.1 666
GU576497.1 666
CP025936.1 666
CP006947.1 1433144
AP014524.1 1420885
AB012956.1 666
LT992492.1 666
CP036499.1 666
CP028892.1 666
CP028827.1 666
CP014043.2 674
GU576498.1 666
CP024162.1 666
CP026647.1 686
LT992488.1 666
CP001233.1 579112
CP013317.1 666
CP012998.1 666
AJFN02000001.1 1147127
CP016383.1 674
AP018677.1 666
CP003330.1 1134456
CP013313.1 666
LT906614.1 243277
CP022353.1 2014742
CP016324.1 412614
CP013309.1 666
LT907989.1 666
CP007634.1 666
LS997867.1 666
CP028894.1 666
GU576499.1 666
CP013014.1 666
LT897797.1 666
CP009042.1 686
AB012957.1 666
DQ915177.1 666
CP001485.1 593588
CP033515.1 666
CP013307.1 666
CP000627.1 345073
CP001235.1 345073
CP024082.1 666
CP013305.1 666
CP003069.1 914149
CP013303.1 666
CP013319.1 666
LT992486.1 666
AF390573.1 185332
